FCFS Results
PID,Start time,Waiting time,Finish time,Turnaround time
15,4,0,62,58
7,62,57,69,64
8,69,61,156,148
17,156,144,228,216
21,228,216,254,242
2,254,239,273,258
10,273,255,279,261
22,279,253,286,260
1,286,257,303,274
11,303,274,383,354
14,383,345,390,352
20,390,349,463,422
3,463,421,469,427
18,469,424,547,502
24,547,501,590,544
0,590,539,649,598
12,649,592,698,641
9,698,640,729,671
16,729,668,768,707
19,768,703,864,799
5,864,797,936,869
6,936,863,1018,945
23,1018,944,1068,994
4,1068,977,1125,1034
13,1125,1030,1165,1070

FCFS Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
461.96,508.4,550.88

SJF Results
PID,Start time,Waiting time,Finish time,Turnaround time
15,4,0,62,58
10,62,44,68,50
3,68,26,74,32
7,74,69,81,76
22,81,55,88,62
14,88,50,95,57
1,95,66,112,83
2,112,97,131,116
21,131,119,157,145
9,157,99,188,130
16,188,127,227,166
13,227,132,267,172
24,267,221,310,264
12,310,253,359,302
23,359,285,409,335
4,409,318,466,375
0,466,415,525,474
17,525,513,597,585
5,597,530,669,602
20,669,628,742,701
18,742,697,820,775
11,820,791,900,871
6,900,827,982,909
8,982,974,1069,1061
19,1069,1004,1165,1100

SJF Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
333.6,380.04,422.52
