FCFS Results
PID,Start time,Waiting time,Finish time,Turnaround time
8,1,0,64,63
61,64,60,159,155
6,159,153,256,250
34,256,245,293,282
73,293,282,297,286
24,297,285,355,343
43,355,341,421,407
40,421,406,518,503
12,518,502,573,557
14,573,557,618,602
26,618,600,716,698
46,716,698,731,713
54,731,712,826,807
56,826,805,918,897
57,918,896,994,972
28,994,970,1045,1021
70,1045,1021,1084,1060
7,1084,1057,1142,1115
47,1142,1115,1236,1209
50,1236,1209,1309,1282
31,1309,1280,1335,1306
1,1335,1305,1378,1348
3,1378,1348,1475,1445
44,1475,1445,1541,1511
39,1541,1510,1569,1538
18,1569,1536,1640,1607
55,1640,1606,1673,1639
41,1673,1638,1710,1675
13,1710,1672,1723,1685
36,1723,1685,1794,1756
32,1794,1755,1871,1832
15,1871,1829,1912,1870
25,1912,1870,1957,1915
63,1957,1914,1960,1917
0,1960,1915,2004,1959
20,2004,1959,2018,1973
10,2018,1972,2065,2019
68,2065,2019,2072,2026
72,2072,2023,2116,2067
37,2116,2066,2199,2149
45,2199,2149,2242,2192
33,2242,2191,2300,2249
49,2300,2249,2329,2278
64,2329,2278,2384,2333
69,2384,2329,2436,2381
59,2436,2380,2516,2460
42,2516,2459,2545,2488
35,2545,2487,2578,2520
23,2578,2514,2646,2582
66,2646,2582,2656,2592
27,2656,2591,2727,2662
22,2727,2661,2782,2716
16,2782,2713,2797,2728
53,2797,2728,2868,2799
58,2868,2799,2913,2844
2,2913,2840,2940,2867
74,2940,2867,2943,2870
48,2943,2867,3026,2950
51,3026,2949,3092,3015
67,3092,3015,3116,3039
29,3116,3035,3179,3098
62,3179,3098,3266,3185
71,3266,3185,3274,3193
9,3274,3192,3371,3289
5,3371,3284,3451,3364
60,3451,3364,3463,3376
19,3463,3375,3504,3416
4,3504,3415,3546,3457
52,3546,3455,3624,3533
30,3624,3529,3660,3565
65,3660,3564,3683,3587
17,3683,3586,3748,3651
38,3748,3651,3846,3749
21,3846,3747,3856,3757
11,3856,3756,3897,3797

FCFS Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
1988.6,2040.5466666666666,2090.28

SJF Results
PID,Start time,Waiting time,Finish time,Turnaround time
8,1,0,64,63
63,64,21,67,24
73,67,56,71,60
68,71,25,78,32
74,78,5,81,8
71,81,0,89,8
66,89,25,99,35
21,99,0,109,10
60,109,22,121,34
13,121,83,134,96
20,134,89,148,103
46,148,130,163,145
16,163,94,178,109
65,178,82,201,105
67,201,124,225,148
31,225,196,251,222
2,251,178,278,205
39,278,247,306,275
49,306,255,335,284
42,335,278,364,307
55,364,330,397,363
35,397,339,430,372
30,430,335,466,371
34,466,455,503,492
41,503,468,540,505
70,540,516,579,555
15,579,537,620,578
19,620,532,661,573
11,661,561,702,602
4,702,613,744,655
1,744,714,787,757
45,787,737,830,780
0,830,785,874,829
72,874,825,918,869
14,918,902,963,947
25,963,921,1008,966
58,1008,939,1053,984
10,1053,1007,1100,1054
28,1100,1076,1151,1127
69,1151,1096,1203,1148
12,1203,1187,1258,1242
64,1258,1207,1313,1262
22,1313,1247,1368,1302
24,1368,1356,1426,1414
7,1426,1399,1484,1457
33,1484,1433,1542,1491
29,1542,1461,1605,1524
17,1605,1508,1670,1573
43,1670,1656,1736,1722
44,1736,1706,1802,1772
51,1802,1725,1868,1791
23,1868,1804,1936,1872
18,1936,1903,2007,1974
36,2007,1969,2078,2040
27,2078,2013,2149,2084
53,2149,2080,2220,2151
50,2220,2193,2293,2266
57,2293,2271,2369,2347
32,2369,2330,2446,2407
52,2446,2355,2524,2433
59,2524,2468,2604,2548
5,2604,2517,2684,2597
37,2684,2634,2767,2717
48,2767,2691,2850,2774
62,2850,2769,2937,2856
56,2937,2916,3029,3008
47,3029,3002,3123,3096
61,3123,3119,3218,3214
54,3218,3199,3313,3294
6,3313,3307,3410,3404
40,3410,3395,3507,3492
3,3507,3477,3604,3574
9,3604,3522,3701,3619
26,3701,3683,3799,3781
38,3799,3702,3897,3800

SJF Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
1290.6933333333334,1342.64,1392.3733333333332
